Data,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
06/08/2023 19:41:38,-0.45,1.86,0.21,0,0.03,0.12
06/08/2023 19:41:39,-0.89,2.45,0.04,-0.04,0.07,0.17
06/08/2023 19:41:39,-0.80,3.07,-0.08,-0.05,0.12,0.25
06/08/2023 19:41:40,-1.02,3.5,-0.32,-0.02,0.12,0.31
06/08/2023 19:41:40,-1.82,3.64,-0.27,-0.02,0.12,0.4
06/08/2023 19:41:41,-1.47,3.44,-0.39,0,0.09,0.39
06/08/2023 19:41:41,-1.41,3.38,-0.57,-0.04,0.12,0.26
06/08/2023 19:41:42,-0.84,3.37,-0.34,0,0.09,0.14
06/08/2023 19:41:42,-0.64,3.02,-0.47,-0.01,0.04,0.06
06/08/2023 19:41:43,-0.55,2.26,-0.13,-0.05,-0.01,0.02
06/08/2023 19:41:43,-0.14,2.55,0.08,0.03,-0.01,-0.03
06/08/2023 19:41:44,-0.42,2.29,0.14,0,0.01,-0.05
06/08/2023 19:41:44,-0.73,2.09,0.14,-0.03,-0.01,-0.04
06/08/2023 19:41:45,-0.42,1.5,0.35,0.02,0.04,-0.04
06/08/2023 19:41:45,-0.58,1.39,0.75,0.04,0.07,-0.04
06/08/2023 19:41:46,-0.23,1.55,-0.23,0.04,-0.01,-0.01
06/08/2023 19:41:46,-0.57,1.7,0.24,-0.01,0.02,-0.03
06/08/2023 19:41:47,-0.41,1.87,0.06,0.02,0,-0.01
06/08/2023 19:41:47,-0.44,2.3,0.68,-0.02,0.01,-0.03
06/08/2023 19:41:48,-0.28,2.33,0.16,-0.02,0.04,-0.02
06/08/2023 19:41:48,-0.33,2.3,-0.1,0,0,-0.01
06/08/2023 19:41:49,-0.31,2.33,0,-0.01,0.03,-0.02
06/08/2023 19:41:49,-0.55,4.07,0.05,0,0.02,-0.02
06/08/2023 19:41:50,-0.43,5.47,-1.16,0,0.02,-0.01
06/08/2023 19:41:50,-0.70,3.43,-0.2,-0.04,0,-0.02
06/08/2023 19:41:51,-0.38,5.02,0.15,0.1,0.08,-0.02
06/08/2023 19:41:51,-0.40,5.77,-0.77,0.11,0.03,-0.02
06/08/2023 19:41:52,-0.34,2.8,0.54,-0.04,0.06,-0.03
06/08/2023 19:41:52,-0.30,2.68,-2.44,0.06,0.01,-0.01
06/08/2023 19:41:53,-0.69,3.22,-0.15,-0.09,-0.06,-0.02
06/08/2023 19:41:53,-0.39,3.97,-0.16,-0.05,0.01,-0.03
06/08/2023 19:41:54, 0.16,3.85,-0.76,-0.04,-0.01,-0.03
06/08/2023 19:41:54,-0.12,3.05,0.07,-0.06,0.04,-0.02
06/08/2023 19:41:55, 0.13,2.7,0.54,0.02,0.05,-0.03
06/08/2023 19:41:55,-0.12,2.78,-0.45,0.01,0.12,-0.06
06/08/2023 19:41:56,-0.21,3.16,-0.92,0,0.08,-0.03
06/08/2023 19:41:56,-0.39,2.63,-0.14,-0.02,0,-0.03
06/08/2023 19:41:57,-0.25,2.7,0.65,-0.04,0.08,-0.05
06/08/2023 19:41:57,-1.15,2.65,-0.21,0,0.02,-0.04
06/08/2023 19:41:58,-0.39,3.38,0.48,-0.07,-0.05,-0.04
06/08/2023 19:41:58,-0.53,2.61,-0.41,0.06,0,-0.03
06/08/2023 19:41:59,-1.18,3.11,-0.11,0.01,0.03,0.01
06/08/2023 19:41:59,-1.00,2.27,-0.48,-0.01,0.01,-0.01
06/08/2023 19:42:00,-0.62,1.99,-0.37,0.03,0.03,-0.01
06/08/2023 19:42:00,-0.31,1.64,-1.05,-0.02,-0.05,-0.03
06/08/2023 19:42:01,-0.61,3.12,0.9,0.04,0.06,0
06/08/2023 19:42:01,-1.22,2.85,0.18,-0.04,0.05,0.01
06/08/2023 19:42:02,-0.21,2.58,-0.08,-0.04,0.02,-0.05
06/08/2023 19:42:02, 0.05,3.5,0.15,-0.01,0,-0.08
06/08/2023 19:42:03, 0.20,3.58,-0.17,0,-0.07,-0.05
06/08/2023 19:42:03, 0.15,2.12,-0.77,-0.08,0.04,-0.06
06/08/2023 19:42:04,-0.20,3.81,-0.06,0.1,-0.03,-0.04
06/08/2023 19:42:04,-0.09,3.07,-0.67,0.08,0.09,-0.01
06/08/2023 19:42:05, 0.04,3.06,-0.82,0.01,0,-0.01
06/08/2023 19:42:05, 0.00,3.17,-1.16,-0.03,0.07,-0.02
06/08/2023 19:42:06,-0.76,3.2,-0.27,0.03,0.01,-0.01
06/08/2023 19:42:06,-0.02,2.86,-0.52,-0.03,0.03,-0.03
06/08/2023 19:42:07, 0.01,2.38,-0.45,-0.05,0.02,-0.05
06/08/2023 19:42:07,-0.57,2.31,0.03,-0.07,0.05,-0.03
06/08/2023 19:42:08,-0.37,2.5,0.01,-0.05,0.03,-0.03
06/08/2023 19:42:08,-0.49,3.12,-0.12,-0.02,-0.05,-0.03
06/08/2023 19:42:09,-0.31,3.23,0.51,-0.05,-0.05,-0.03
06/08/2023 19:42:09, 0.16,2.92,0.2,-0.07,0.07,-0.06
06/08/2023 19:42:10,-0.09,2.35,-1.05,-0.07,-0.02,-0.04
06/08/2023 19:42:10,-0.29,2.21,0.18,-0.04,0.02,-0.04
06/08/2023 19:42:11,-0.22,2.67,0.09,-0.03,0.04,-0.03
06/08/2023 19:42:11,-0.72,2.57,0.62,-0.08,-0.01,-0.01
06/08/2023 19:42:12,-0.72,2.55,0.55,-0.05,0.02,-0.03
06/08/2023 19:42:12,-0.70,2.16,0.09,-0.02,-0.01,-0.03
06/08/2023 19:42:13,-0.45,2.54,0.22,-0.06,0.07,-0.03
06/08/2023 19:42:13,-0.23,2.8,0.5,-0.02,0.01,-0.01
06/08/2023 19:42:14,-0.03,2.15,-2.45,0.04,0.09,-0.02
06/08/2023 19:42:14,-0.08,1.11,-4.44,-0.03,0.01,-0.01
06/08/2023 19:42:15,-0.40,2.41,-0.43,0,0.02,-0.01
06/08/2023 19:42:15,-0.78,2.75,0.03,0.02,-0.09,0.01
06/08/2023 19:42:16,-0.72,2.83,0.36,-0.03,0.05,-0.01
06/08/2023 19:42:16,-0.47,2.75,0.78,-0.02,0.06,-0.03
06/08/2023 19:42:17,-0.84,3.25,1.5,0.07,-0.02,-0.01
06/08/2023 19:42:17,-0.64,2.54,-0.06,0.03,0.02,-0.01
06/08/2023 19:42:18,-0.37,2.06,-0.17,-0.03,-0.08,-0.01
06/08/2023 19:42:18,-0.91,2.73,0.71,0.03,-0.02,-0.01
06/08/2023 19:42:19,-0.65,1.81,-0.05,-0.04,-0.01,-0.01
06/08/2023 19:42:19,-0.70,2.48,0.59,-0.01,0.09,-0.02
06/08/2023 19:42:20,-0.69,2.58,0.3,-0.03,0.12,-0.02
06/08/2023 19:42:20,-0.67,3.11,0.35,-0.03,0.03,-0.01
06/08/2023 19:42:21,-0.49,2.48,-0.03,-0.02,0,-0.02
06/08/2023 19:42:21, 0.11,2.65,-0.81,-0.07,0.02,-0.01
06/08/2023 19:42:22,-0.56,2.31,-0.22,-0.07,0.01,-0.02
06/08/2023 19:42:22,-0.19,2.97,-0.47,-0.09,0.11,-0.05
06/08/2023 19:42:23,-0.14,3.16,0.79,0.02,-0.05,-0.02
06/08/2023 19:42:23,-0.25,2.66,0.28,-0.01,-0.08,-0.01
06/08/2023 19:42:24,-0.61,2.78,0.57,-0.01,0.02,-0.02
06/08/2023 19:42:24,-0.74,3.05,-0.17,-0.02,0.05,-0.01
06/08/2023 19:42:25,-0.48,2.83,-0.26,-0.07,0.03,0
06/08/2023 19:42:25,-0.85,2.19,-0.54,-0.08,0.01,0
06/08/2023 19:42:26,-0.33,2.41,-0.26,-0.01,0.05,-0.02
06/08/2023 19:42:26,-0.81,2.81,-0.75,0,0.06,-0.02
06/08/2023 19:42:27,-0.11,2.87,0.24,-0.03,0,-0.03
06/08/2023 19:42:27,-0.33,2.59,-0.09,0,0.02,-0.01
06/08/2023 19:42:28,-0.01,2.75,0,0.1,-0.01,-0.02
06/08/2023 19:42:28,-0.25,2.59,0.46,0.02,0.06,-0.02
06/08/2023 19:42:29,-0.38,2.41,-0.29,0.03,0,-0.02
06/08/2023 19:42:29,-0.30,2.27,0.01,-0.01,0.06,-0.02
06/08/2023 19:42:30,-0.26,2.52,0.24,-0.05,0.03,-0.01
06/08/2023 19:42:30,-0.17,2.42,0.5,0,0.05,-0.04
06/08/2023 19:42:31,-0.17,2.12,-0.18,-0.08,0.08,-0.02
06/08/2023 19:42:31,-0.42,2.23,0.2,-0.08,0.03,-0.01
06/08/2023 19:42:32,-0.83,2.18,0.18,-0.09,0.03,-0.01
06/08/2023 19:42:32,-0.58,2.1,0.55,-0.05,0.04,0
06/08/2023 19:42:33,-0.77,2.24,0.58,-0.02,0.01,0.01
06/08/2023 19:42:33, 0.17,2.24,-1.2,-0.05,0.1,-0.03
06/08/2023 19:42:34,-0.37,2.5,-0.75,-0.05,0.06,0
06/08/2023 19:42:34,-0.61,2.57,0.29,0.02,0.11,-0.01
06/08/2023 19:42:35,-0.45,2.49,0.37,-0.01,0.01,0
06/08/2023 19:42:35,-0.80,2.38,0.6,-0.02,0.02,0
06/08/2023 19:42:36,-0.66,1.83,0.05,-0.07,0.08,-0.02
06/08/2023 19:42:36,-0.74,1.64,-0.33,-0.03,-0.07,0
06/08/2023 19:42:37,-0.83,1.95,0.24,-0.07,0.06,-0.01
06/08/2023 19:42:37,-0.78,1.99,-0.03,-0.03,0.04,-0.01
06/08/2023 19:42:38,-0.48,2.65,0.34,0.02,0.02,0
06/08/2023 19:42:38,-1.01,2.42,0.02,0.03,0.03,0
06/08/2023 19:42:39,-0.27,2.31,-1.15,-0.02,0.11,-0.01
06/08/2023 19:42:39, 0.06,2.76,-0.7,-0.04,0.05,-0.02
06/08/2023 19:42:40,-0.31,2.88,0.14,-0.04,0.06,0.01
06/08/2023 19:42:40,-0.40,2.16,0.63,0.06,0.08,0
06/08/2023 19:42:41,-1.05,1.63,-0.06,-0.03,-0.07,0.01
06/08/2023 19:42:41,-0.77,2.81,-0.72,-0.04,0.07,0.01
06/08/2023 19:42:42,-0.94,3.57,-0.04,0.03,-0.04,0.03
06/08/2023 19:42:42,-0.85,2.58,0.95,-0.04,0.08,0
06/08/2023 19:42:43,-0.13,2.73,0.38,0,0.04,-0.02
06/08/2023 19:42:43,-1.05,2.45,-0.45,-0.03,0.02,0.02
06/08/2023 19:42:44,-0.50,2.92,-0.2,0,-0.01,0
06/08/2023 19:42:44,-0.21,2.47,0.34,0.02,0.02,-0.01
06/08/2023 19:42:45,-0.37,2.81,-0.84,-0.01,-0.02,-0.01
06/08/2023 19:42:45,-0.37,3.45,-0.56,-0.01,-0.02,-0.02
06/08/2023 19:42:46,-1.13,3.34,2.63,0.11,0.05,-0.01
06/08/2023 19:42:46,-0.33,3.07,0.52,0.05,0.08,-0.01
06/08/2023 19:42:47,-0.50,3.36,0.2,0.03,0.03,-0.01
06/08/2023 19:42:47,-0.81,3.24,-0.17,-0.01,0.02,-0.01
06/08/2023 19:42:48,-0.24,2.95,-0.42,-0.04,0.05,-0.01
06/08/2023 19:42:48,-1.43,2.17,0.58,-0.06,0.07,-0.01
06/08/2023 19:42:49,-0.60,1.21,0.29,-0.07,0.05,-0.01
06/08/2023 19:42:49,-0.27,0.68,-0.11,-0.04,0.07,-0.01
06/08/2023 19:42:50,-0.59,0.26,0.03,0.03,0,-0.02
06/08/2023 19:42:50,-0.40,1.87,0.93,-0.01,0.06,-0.02
06/08/2023 19:42:51,-0.35,1.77,0.3,-0.01,0.03,-0.02
06/08/2023 19:42:51, 0.12,1.76,0.77,0.01,0.03,-0.03
06/08/2023 19:42:52,-0.14,1.75,-0.5,0,0.04,-0.02
06/08/2023 19:42:52,-0.20,1.47,0.92,-0.05,0.04,-0.02
06/08/2023 19:42:53,-0.44,1.5,0.75,0,-0.01,-0.02
06/08/2023 19:42:53,-0.89,1.32,1.23,0.01,0.01,-0.03
06/08/2023 19:42:54,-0.56,1.46,0.32,-0.03,-0.03,-0.02
06/08/2023 19:42:54,-0.30,1.68,-0.11,-0.01,0.05,-0.02
06/08/2023 19:42:55,-0.08,1.84,0.11,0.01,0.04,-0.01
06/08/2023 19:42:55,-0.21,1.82,0,-0.03,-0.01,-0.01
06/08/2023 19:42:56,-0.67,1.82,0.55,0,0.02,-0.02
